Team,Sport,Total_Medals,Country_Total
France,Freestyle Skiing,12,832
France,Golf,0,832
France,Gymnastics,8,832
France,Handball,77,832
France,Hockey,0,832
France,Ice Hockey,0,832
France,Judo,49,832
France,Luge,0,832
France,Modern Pentathlon,7,832
France,Nordic Combined,7,832
France,Rhythmic Gymnastics,0,832
France,Rowing,46,832
France,Rugby Sevens,0,832
France,Sailing,24,832
France,Shooting,14,832
France,Short Track Speed Skating,0,832
France,Skeleton,0,832
France,Ski Jumping,1,832
France,Snowboarding,10,832
France,Softball,0,832
France,Speed Skating,0,832
France,Swimming,56,832
France,Synchronized Swimming,2,832
France,Table Tennis,1,832
France,Taekwondo,7,832
France,Tennis,2,832
France,Trampolining,0,832
France,Triathlon,0,832
France,Volleyball,0,832
France,Water Polo,0,832
France,Weightlifting,2,832
France,Wrestling,9,832
Germany,Alpine Skiing,22,1399
Germany,Archery,7,1399
Germany,Athletics,71,1399
Germany,Badminton,0,1399
Germany,Baseball,0,1399
Germany,Basketball,0,1399
Germany,Beach Volleyball,0,1399
Germany,Biathlon,80,1399
Germany,Bobsleigh,0,1399
Germany,Boxing,16,1399
Germany,Canoeing,138,1399
Germany,Cross Country Skiing,35,1399
Germany,Curling,0,1399
Germany,Cycling,71,1399
Germany,Diving,17,1399
Germany,Equestrianism,92,1399
Germany,Fencing,50,1399
Germany,Figure Skating,1,1399
Germany,Football,104,1399
Germany,Freestyle Skiing,1,1399
Germany,Golf,0,1399
Germany,Gymnastics,18,1399
Germany,Handball,30,1399
Germany,Hockey,130,1399
Germany,Ice Hockey,0,1399
Germany,Judo,20,1399
Germany,Luge,31,1399
Germany,Modern Pentathlon,1,1399
Germany,Nordic Combined,23,1399
Germany,Rhythmic Gymnastics,0,1399
Germany,Rowing,158,1399
Germany,Rugby Sevens,0,1399
Germany,Sailing,14,1399
Germany,Shooting,20,1399
Germany,Short Track Speed Skating,0,1399
Germany,Skeleton,2,1399
Germany,Ski Jumping,25,1399
Germany,Snowboarding,5,1399
Germany,Softball,0,1399
Germany,Speed Skating,47,1399
Germany,Swimming,114,1399
Germany,Synchronized Swimming,0,1399
Germany,Table Tennis,16,1399
Germany,Taekwondo,2,1399
Germany,Tennis,9,1399
Germany,Trampolining,2,1399
Germany,Triathlon,2,1399
Germany,Volleyball,0,1399
Germany,Water Polo,0,1399
Germany,Weightlifting,9,1399
Germany,Wrestling,16,1399
Great Britain,Alpine Skiing,0,864
Great Britain,Archery,8,864
Great Britain,Athletics,157,864
Great Britain,Badminton,2,864
Great Britain,Baseball,0,864
Great Britain,Basketball,0,864
Great Britain,Beach Volleyball,0,864
Great Britain,Biathlon,0,864
Great Britain,Bobsleigh,4,864
Great Britain,Boxing,25,864
Great Britain,Canoeing,18,864
Great Britain,Cross Country Skiing,0,864
Great Britain,Curling,13,864
Great Britain,Cycling,89,864
Great Britain,Diving,10,864
Great Britain,Equestrianism,67,864
Great Britain,Fencing,8,864
Great Britain,Figure Skating,4,864
Great Britain,Football,0,864
Great Britain,Freestyle Skiing,0,864
Great Britain,Golf,1,864
Great Britain,Gymnastics,15,864
Great Britain,Handball,0,864
Great Britain,Hockey,79,864
Great Britain,Ice Hockey,0,864
Great Britain,Judo,19,864
Great Britain,Luge,0,864
Great Britain,Modern Pentathlon,11,864
Great Britain,Nordic Combined,0,864
Great Britain,Rhythmic Gymnastics,0,864
Great Britain,Rowing,157,864
Great Britain,Rugby Sevens,12,864
Great Britain,Sailing,61,864
Great Britain,Shooting,13,864
Great Britain,Short Track Speed Skating,1,864
Great Britain,Skeleton,4,864
Great Britain,Ski Jumping,0,864
Great Britain,Snowboarding,1,864
Great Britain,Softball,0,864
Great Britain,Speed Skating,0,864
Great Britain,Swimming,63,864
Great Britain,Synchronized Swimming,0,864
Great Britain,Table Tennis,0,864
Great Britain,Taekwondo,6,864
Great Britain,Tennis,6,864
Great Britain,Trampolining,1,864
Great Britain,Triathlon,5,864
Great Britain,Volleyball,0,864
Great Britain,Water Polo,0,864
Great Britain,Weightlifting,3,864
Great Britain,Wrestling,1,864
Hungary,Alpine Skiing,0,702
Hungary,Archery,0,702
Hungary,Athletics,19,702
Hungary,Badminton,0,702
Hungary,Baseball,0,702
Hungary,Basketball,0,702
Hungary,Beach Volleyball,0,702
Hungary,Biathlon,0,702
Hungary,Bobsleigh,0,702
Hungary,Boxing,13,702
Hungary,Canoeing,144,702
Hungary,Cross Country Skiing,0,702
Hungary,Curling,0,702
Hungary,Cycling,0,702
Hungary,Diving,0,702
Hungary,Equestrianism,0,702
Hungary,Fencing,131,702
Hungary,Figure Skating,2,702
Hungary,Football,64,702
Hungary,Freestyle Skiing,0,702
Hungary,Golf,0,702
Hungary,Gymnastics,23,702
Hungary,Handball,45,702
Hungary,Hockey,0,702
Hungary,Ice Hockey,0,702
Hungary,Judo,9,702
Hungary,Luge,0,702
Hungary,Modern Pentathlon,33,702
Hungary,Nordic Combined,0,702
Hungary,Rhythmic Gymnastics,0,702
Hungary,Rowing,4,702
Hungary,Rugby Sevens,0,702
Hungary,Sailing,2,702
Hungary,Shooting,9,702
Hungary,Short Track Speed Skating,0,702
Hungary,Skeleton,0,702
Hungary,Ski Jumping,0,702
Hungary,Snowboarding,0,702
Hungary,Softball,0,702
Hungary,Speed Skating,0,702
Hungary,Swimming,44,702
Hungary,Synchronized Swimming,0,702
Hungary,Table Tennis,0,702
Hungary,Taekwondo,0,702
Hungary,Tennis,0,702
Hungary,Trampolining,0,702
Hungary,Triathlon,0,702
Hungary,Volleyball,0,702
Hungary,Water Polo,109,702
Hungary,Weightlifting,20,702
Hungary,Wrestling,31,702
Italy,Alpine Skiing,28,959
Italy,Archery,15,959
Italy,Athletics,40,959
Italy,Badminton,0,959
Italy,Baseball,0,959
Italy,Basketball,24,959
Italy,Beach Volleyball,0,959
Italy,Biathlon,10,959
Italy,Bobsleigh,0,959
Italy,Boxing,28,959
Italy,Canoeing,23,959
Italy,Cross Country Skiing,61,959
Italy,Curling,0,959
Italy,Cycling,65,959
Italy,Diving,12,959
Italy,Equestrianism,24,959
Italy,Fencing,179,959
Italy,Figure Skating,1,959
Italy,Football,17,959
Italy,Freestyle Skiing,0,959
Italy,Golf,0,959
Italy,Gymnastics,15,959
Italy,Handball,0,959
Italy,Hockey,0,959
Italy,Ice Hockey,0,959
Italy,Judo,15,959
Italy,Luge,10,959
Italy,Modern Pentathlon,12,959
Italy,Nordic Combined,1,959
Italy,Rhythmic Gymnastics,12,959
Italy,Rowing,74,959
Italy,Rugby Sevens,0,959
Italy,Sailing,13,959
Italy,Shooting,38,959
Italy,Short Track Speed Skating,21,959
Italy,Skeleton,0,959
Italy,Ski Jumping,0,959
Italy,Snowboarding,2,959
Italy,Softball,0,959
Italy,Speed Skating,6,959
Italy,Swimming,27,959
Italy,Synchronized Swimming,0,959
Italy,Table Tennis,0,959
Italy,Taekwondo,3,959
Italy,Tennis,0,959
Italy,Trampolining,0,959
Italy,Triathlon,0,959
Italy,Volleyball,72,959
Italy,Water Polo,100,959
Italy,Weightlifting,3,959
Italy,Wrestling,8,959
Japan,Alpine Skiing,0,807
Japan,Archery,7,807
Japan,Athletics,18,807
Japan,Badminton,3,807
Japan,Baseball,64,807
Japan,Basketball,0,807
Japan,Beach Volleyball,0,807
Japan,Biathlon,0,807
Japan,Bobsleigh,0,807
Japan,Boxing,5,807
Japan,Canoeing,1,807
Japan,Cross Country Skiing,0,807
Japan,Curling,0,807
Japan,Cycling,6,807
Japan,Diving,0,807
Japan,Equestrianism,0,807
Japan,Fencing,5,807
Japan,Figure Skating,5,807
Japan,Football,34,807
Japan,Freestyle Skiing,3,807
Japan,Golf,0,807
Japan,Gymnastics,146,807
Japan,Handball,0,807
Japan,Hockey,0,807
Japan,Ice Hockey,0,807
Japan,Judo,84,807
Japan,Luge,0,807
Japan,Modern Pentathlon,0,807
Japan,Nordic Combined,8,807
Japan,Rhythmic Gymnastics,0,807
Japan,Rowing,0,807
Japan,Rugby Sevens,0,807
Japan,Sailing,4,807
Japan,Shooting,6,807
Japan,Short Track Speed Skating,6,807
Japan,Skeleton,0,807
Japan,Ski Jumping,20,807
Japan,Snowboarding,3,807
Japan,Softball,44,807
Japan,Speed Skating,17,807
Japan,Swimming,76,807
Japan,Synchronized Swimming,52,807
Japan,Table Tennis,10,807
Japan,Taekwondo,1,807
Japan,Tennis,1,807
Japan,Trampolining,0,807
Japan,Triathlon,0,807
Japan,Volleyball,101,807
Japan,Water Polo,0,807
Japan,Weightlifting,14,807
Japan,Wrestling,63,807
Netherlands,Alpine Skiing,0,713
Netherlands,Archery,1,713
Netherlands,Athletics,5,713
Netherlands,Badminton,1,713
Netherlands,Baseball,0,713
Netherlands,Basketball,0,713
Netherlands,Beach Volleyball,0,713
Netherlands,Biathlon,0,713
Netherlands,Bobsleigh,0,713
Netherlands,Boxing,5,713
Netherlands,Canoeing,6,713
Netherlands,Cross Country Skiing,0,713
Netherlands,Curling,0,713
Netherlands,Cycling,43,713
Netherlands,Diving,0,713
Netherlands,Equestrianism,33,713
Netherlands,Fencing,0,713
Netherlands,Figure Skating,3,713
Netherlands,Football,0,713
Netherlands,Freestyle Skiing,0,713
Netherlands,Golf,0,713
Netherlands,Gymnastics,2,713
Netherlands,Handball,0,713
Netherlands,Hockey,209,713
Netherlands,Ice Hockey,0,713
Netherlands,Judo,23,713
Netherlands,Luge,0,713
Netherlands,Modern Pentathlon,0,713
Netherlands,Nordic Combined,0,713
Netherlands,Rhythmic Gymnastics,0,713
Netherlands,Rowing,116,713
Netherlands,Rugby Sevens,0,713
Netherlands,Sailing,16,713
Netherlands,Shooting,1,713
Netherlands,Short Track Speed Skating,1,713
Netherlands,Skeleton,0,713
Netherlands,Ski Jumping,0,713
Netherlands,Snowboarding,1,713
Netherlands,Softball,0,713
Netherlands,Speed Skating,114,713
Netherlands,Swimming,85,713
Netherlands,Synchronized Swimming,0,713
Netherlands,Table Tennis,0,713
Netherlands,Taekwondo,0,713
Netherlands,Tennis,2,713
Netherlands,Trampolining,0,713
Netherlands,Triathlon,0,713
Netherlands,Volleyball,24,713
Netherlands,Water Polo,22,713
Netherlands,Weightlifting,0,713
Netherlands,Wrestling,0,713
Norway,Alpine Skiing,25,547
Norway,Archery,0,547
Norway,Athletics,8,547
Norway,Badminton,0,547
Norway,Baseball,0,547
Norway,Basketball,0,547
Norway,Beach Volleyball,0,547
Norway,Biathlon,62,547
Norway,Bobsleigh,0,547
Norway,Boxing,0,547
Norway,Canoeing,19,547
Norway,Cross Country Skiing,139,547
Norway,Curling,14,547
Norway,Cycling,4,547
Norway,Diving,0,547
Norway,Equestrianism,0,547
Norway,Fencing,1,547
Norway,Figure Skating,0,547
Norway,Football,33,547
Norway,Freestyle Skiing,8,547
Norway,Golf,0,547
Norway,Gymnastics,0,547
Norway,Handball,85,547
Norway,Hockey,0,547
Norway,Ice Hockey,0,547
Norway,Judo,0,547
Norway,Luge,0,547
Norway,Modern Pentathlon,0,547
Norway,Nordic Combined,25,547
Norway,Rhythmic Gymnastics,0,547
Norway,Rowing,28,547
Norway,Rugby Sevens,0,547
Norway,Sailing,10,547
Norway,Shooting,4,547
Norway,Short Track Speed Skating,0,547
Norway,Skeleton,0,547
Norway,Ski Jumping,25,547
Norway,Snowboarding,4,547
Norway,Softball,0,547
Norway,Speed Skating,45,547
Norway,Swimming,2,547
Norway,Synchronized Swimming,0,547
Norway,Table Tennis,0,547
Norway,Taekwondo,2,547
Norway,Tennis,0,547
Norway,Trampolining,0,547
Norway,Triathlon,0,547
Norway,Volleyball,0,547
Norway,Water Polo,0,547
Norway,Weightlifting,1,547
Norway,Wrestling,3,547
Poland,Alpine Skiing,0,479
Poland,Archery,4,479
Poland,Athletics,63,479
Poland,Badminton,0,479
Poland,Baseball,0,479
Poland,Basketball,0,479
Poland,Beach Volleyball,0,479
Poland,Biathlon,1,479
Poland,Bobsleigh,0,479
Poland,Boxing,38,479
Poland,Canoeing,35,479
Poland,Cross Country Skiing,5,479
Poland,Curling,0,479
Poland,Cycling,20,479
Poland,Diving,0,479
Poland,Equestrianism,5,479
Poland,Fencing,63,479
Poland,Figure Skating,0,479
Poland,Football,50,479
Poland,Freestyle Skiing,0,479
Poland,Golf,0,479
Poland,Gymnastics,2,479
Poland,Handball,14,479
Poland,Hockey,0,479
Poland,Ice Hockey,0,479
Poland,Judo,8,479
Poland,Luge,0,479
Poland,Modern Pentathlon,6,479
Poland,Nordic Combined,0,479
Poland,Rhythmic Gymnastics,0,479
Poland,Rowing,34,479
Poland,Rugby Sevens,0,479
Poland,Sailing,4,479
Poland,Shooting,10,479
Poland,Short Track Speed Skating,0,479
Poland,Skeleton,0,479
Poland,Ski Jumping,7,479
Poland,Snowboarding,0,479
Poland,Softball,0,479
Poland,Speed Skating,13,479
Poland,Swimming,6,479
Poland,Synchronized Swimming,0,479
Poland,Table Tennis,0,479
Poland,Taekwondo,0,479
Poland,Tennis,0,479
Poland,Trampolining,0,479
Poland,Triathlon,0,479
Poland,Volleyball,34,479
Poland,Water Polo,0,479
Poland,Weightlifting,31,479
Poland,Wrestling,26,479
Romania,Alpine Skiing,0,611
Romania,Archery,0,611
Romania,Athletics,35,611
Romania,Badminton,0,611
Romania,Baseball,0,611
Romania,Basketball,0,611
Romania,Beach Volleyball,0,611
Romania,Biathlon,0,611
Romania,Bobsleigh,0,611
Romania,Boxing,19,611
Romania,Canoeing,63,611
Romania,Cross Country Skiing,0,611
Romania,Curling,0,611
Romania,Cycling,0,611
Romania,Diving,0,611
Romania,Equestrianism,3,611
Romania,Fencing,46,611
Romania,Figure Skating,0,611
Romania,Football,0,611
Romania,Freestyle Skiing,0,611
Romania,Golf,0,611
Romania,Gymnastics,128,611
Romania,Handball,58,611
Romania,Hockey,0,611
Romania,Ice Hockey,0,611
Romania,Judo,6,611
Romania,Luge,0,611
Romania,Modern Pentathlon,0,611
Romania,Nordic Combined,0,611
Romania,Rhythmic Gymnastics,1,611
