Team,Sport,Total_Medals,Country_Total
Sweden,Cross Country Skiing,86,632
Sweden,Curling,21,632
Sweden,Cycling,18,632
Sweden,Diving,3,632
Sweden,Equestrianism,14,632
Sweden,Fencing,7,632
Sweden,Figure Skating,0,632
Sweden,Football,18,632
Sweden,Freestyle Skiing,2,632
Sweden,Golf,1,632
Sweden,Gymnastics,0,632
Sweden,Handball,61,632
Sweden,Hockey,0,632
Sweden,Ice Hockey,188,632
Sweden,Judo,0,632
Sweden,Luge,0,632
Sweden,Modern Pentathlon,5,632
Sweden,Nordic Combined,0,632
Sweden,Rhythmic Gymnastics,0,632
Sweden,Rowing,0,632
Sweden,Rugby Sevens,0,632
Sweden,Sailing,25,632
Sweden,Shooting,10,632
Sweden,Short Track Speed Skating,0,632
Sweden,Skeleton,0,632
Sweden,Ski Jumping,0,632
Sweden,Snowboarding,1,632
Sweden,Softball,0,632
Sweden,Speed Skating,10,632
Sweden,Swimming,43,632
Sweden,Synchronized Swimming,0,632
Sweden,Table Tennis,3,632
Sweden,Taekwondo,0,632
Sweden,Tennis,3,632
Sweden,Trampolining,0,632
Sweden,Triathlon,1,632
Sweden,Volleyball,0,632
Sweden,Water Polo,0,632
Sweden,Weightlifting,1,632
Sweden,Wrestling,22,632
United States,Alpine Skiing,40,3553
United States,Archery,28,3553
United States,Athletics,530,3553
United States,Badminton,0,3553
United States,Baseball,68,3553
United States,Basketball,287,3553
United States,Beach Volleyball,0,3553
United States,Biathlon,0,3553
United States,Bobsleigh,0,3553
United States,Boxing,66,3553
United States,Canoeing,12,3553
United States,Cross Country Skiing,1,3553
United States,Curling,4,3553
United States,Cycling,46,3553
United States,Diving,59,3553
United States,Equestrianism,104,3553
United States,Fencing,31,3553
United States,Figure Skating,33,3553
United States,Football,79,3553
United States,Freestyle Skiing,21,3553
United States,Golf,1,3553
United States,Gymnastics,121,3553
United States,Handball,0,3553
United States,Hockey,16,3553
United States,Ice Hockey,199,3553
United States,Judo,14,3553
United States,Luge,1,3553
United States,Modern Pentathlon,11,3553
United States,Nordic Combined,7,3553
United States,Rhythmic Gymnastics,0,3553
United States,Rowing,195,3553
United States,Rugby Sevens,0,3553
United States,Sailing,79,3553
United States,Shooting,50,3553
United States,Short Track Speed Skating,42,3553
United States,Skeleton,5,3553
United States,Ski Jumping,0,3553
United States,Snowboarding,24,3553
United States,Softball,60,3553
United States,Speed Skating,58,3553
United States,Swimming,875,3553
United States,Synchronized Swimming,30,3553
United States,Table Tennis,0,3553
United States,Taekwondo,9,3553
United States,Tennis,21,3553
United States,Trampolining,0,3553
United States,Triathlon,2,3553
United States,Volleyball,120,3553
United States,Water Polo,113,3553
United States,Weightlifting,15,3553
United States,Wrestling,76,3553
West Germany,Alpine Skiing,9,558
West Germany,Archery,0,558
West Germany,Athletics,71,558
West Germany,Badminton,0,558
West Germany,Baseball,0,558
West Germany,Basketball,0,558
West Germany,Beach Volleyball,0,558
West Germany,Biathlon,14,558
West Germany,Bobsleigh,0,558
West Germany,Boxing,6,558
West Germany,Canoeing,12,558
West Germany,Cross Country Skiing,0,558
West Germany,Curling,0,558
West Germany,Cycling,28,558
West Germany,Diving,0,558
West Germany,Equestrianism,62,558
West Germany,Fencing,48,558
West Germany,Figure Skating,1,558
West Germany,Football,18,558
West Germany,Freestyle Skiing,0,558
West Germany,Golf,0,558
West Germany,Gymnastics,1,558
West Germany,Handball,15,558
West Germany,Hockey,66,558
West Germany,Ice Hockey,18,558
West Germany,Judo,8,558
West Germany,Luge,6,558
West Germany,Modern Pentathlon,0,558
West Germany,Nordic Combined,5,558
West Germany,Rhythmic Gymnastics,1,558
West Germany,Rowing,51,558
West Germany,Rugby Sevens,0,558
West Germany,Sailing,14,558
West Germany,Shooting,11,558
West Germany,Short Track Speed Skating,0,558
West Germany,Skeleton,0,558
West Germany,Ski Jumping,0,558
West Germany,Snowboarding,0,558
West Germany,Softball,0,558
West Germany,Speed Skating,3,558
West Germany,Swimming,59,558
West Germany,Synchronized Swimming,0,558
West Germany,Table Tennis,0,558
West Germany,Taekwondo,0,558
West Germany,Tennis,3,558
West Germany,Trampolining,0,558
West Germany,Triathlon,0,558
West Germany,Volleyball,0,558
West Germany,Water Polo,12,558
West Germany,Weightlifting,7,558
West Germany,Wrestling,9,558
