"Name","Sex","Age","Height","Weight","Team","Year","Sport","Medal","BMI"
"Juhamatti Tapio Aaltonen","M",28,184,85,"Finland",2014,"Ice Hockey","Bronze",25.1063327032136
"Kjetil Andr Aamodt","M",20,176,85,"Norway",1992,"Alpine Skiing","Gold",27.4405991735537
"Kjetil Andr Aamodt","M",20,176,85,"Norway",1992,"Alpine Skiing","Bronze",27.4405991735537
"Kjetil Andr Aamodt","M",22,176,85,"Norway",1994,"Alpine Skiing","Silver",27.4405991735537
"Kjetil Andr Aamodt","M",22,176,85,"Norway",1994,"Alpine Skiing","Bronze",27.4405991735537
"Kjetil Andr Aamodt","M",22,176,85,"Norway",1994,"Alpine Skiing","Silver",27.4405991735537
"Kjetil Andr Aamodt","M",30,176,85,"Norway",2002,"Alpine Skiing","Gold",27.4405991735537
"Kjetil Andr Aamodt","M",30,176,85,"Norway",2002,"Alpine Skiing","Gold",27.4405991735537
"Kjetil Andr Aamodt","M",34,176,85,"Norway",2006,"Alpine Skiing","Gold",27.4405991735537
"Ragnhild Margrethe Aamodt","F",27,163,NA,"Norway",2008,"Handball","Gold",NA
"Willemien Aardenburg","F",22,NA,NA,"Netherlands",1988,"Hockey","Bronze",NA
"Pepijn Aardewijn","M",26,189,72,"Netherlands",1996,"Rowing","Silver",20.1562106324011
"Ann Kristin Aarnes","F",23,182,64,"Norway",1996,"Football","Bronze",19.3213380026567
"Roald Edgar Aas","M",31,NA,NA,"Norway",1960,"Speed Skating","Gold",NA
"Giovanni Abagnale","M",21,198,90,"Italy",2016,"Rowing","Bronze",22.9568411386593
"Jos Luis Abajo Gmez","M",30,194,87,"Spain",2008,"Fencing","Bronze",23.1161653735785
"Patimat Abakarova","F",21,165,49,"Azerbaijan",2016,"Taekwondo","Bronze",17.9981634527089
"Mariya Vasilyevna Abakumova (-Tarabina)","F",22,179,80,"Russia",2008,"Athletics","Silver",24.9680097375238
"Aleksey Aleksandrovich Abalmasov","M",28,180,83,"Belarus",2008,"Canoeing","Gold",25.6172839506173
"Luc Abalo","M",23,182,86,"France",2008,"Handball","Gold",25.9630479410699
"Luc Abalo","M",27,182,86,"France",2012,"Handball","Gold",25.9630479410699
"Luc Abalo","M",31,182,86,"France",2016,"Handball","Silver",25.9630479410699
"Jouan Patrice Abanda Etong","M",22,185,82,"Cameroon",2000,"Football","Gold",23.9590942293645
"Jos Mara Abarca Plotas","M",22,186,83,"Spain",1996,"Water Polo","Gold",23.9912128569777
"Stephen Anthony Abas","M",26,165,55,"United States",2004,"Wrestling","Silver",20.2020202020202
"Alejandro Abascal Garca","M",28,181,82,"Spain",1980,"Sailing","Gold",25.0297609963066
"Jos Manuel Abascal Gmez","M",26,182,67,"Spain",1984,"Athletics","Bronze",20.2270257215312
"Tamila Rashidovna Abasova","F",21,163,60,"Russia",2004,"Cycling","Silver",22.5827091723437
"Jol Marc Abati","M",38,190,85,"France",2008,"Handball","Gold",23.5457063711911
"Pter Abay","M",30,181,79,"Hungary",1992,"Fencing","Silver",24.1140380330271
"Agostino Abbagnale","M",22,188,96,"Italy",1988,"Rowing","Gold",27.1616115889543
"Agostino Abbagnale","M",29,188,96,"Italy",1996,"Rowing","Gold",27.1616115889543
"Agostino Abbagnale","M",34,188,96,"Italy",2000,"Rowing","Gold",27.1616115889543
"Carmine Abbagnale","M",22,182,90,"Italy",1984,"Rowing","Gold",27.170631566236
"Carmine Abbagnale","M",26,182,90,"Italy",1988,"Rowing","Gold",27.170631566236
"Carmine Abbagnale","M",30,182,90,"Italy",1992,"Rowing","Silver",27.170631566236
"Giuseppe Abbagnale","M",25,187,97,"Italy",1984,"Rowing","Gold",27.7388544139095
"Giuseppe Abbagnale","M",29,187,97,"Italy",1988,"Rowing","Gold",27.7388544139095
"Giuseppe Abbagnale","M",33,187,97,"Italy",1992,"Rowing","Silver",27.7388544139095
"Desmond ""Des"" Abbott","M",21,184,87,"Australia",2008,"Hockey","Bronze",25.6970699432892
"Jeremy Abbott","M",28,175,70,"United States",2014,"Figure Skating","Bronze",22.8571428571429
"Monica Cecilia Abbott","F",23,191,88,"United States",2008,"Softball","Silver",24.1221457745128
"Nia Nicole Abdallah","F",20,175,56,"United States",2004,"Taekwondo","Silver",18.2857142857143
"Saeid Morad Abdevali","M",26,170,80,"Iran",2016,"Wrestling","Bronze",27.681660899654
"Reema Abdo","F",21,173,59,"Canada",1984,"Swimming","Bronze",19.7133215276154
"Lala Abdul Rashid","M",38,169,91,"Pakistan",1960,"Hockey","Gold",31.8616294947656
"Muhammad Abdul Rashid","M",23,181,72,"Pakistan",1964,"Hockey","Silver",21.9773511187082
"Zagalav Abdulbekovich Abdulbekov","M",26,160,62,"Soviet Union",1972,"Wrestling","Gold",24.21875
"Mukhammad Kadyr Abdullayev","M",26,169,63,"Uzbekistan",2000,"Boxing","Gold",22.0580511886839
"Namiq Yadulla Abdullayev","M",25,167,55,"Azerbaijan",1996,"Wrestling","Silver",19.7210369679802
"Namiq Yadulla Abdullayev","M",29,167,55,"Azerbaijan",2000,"Wrestling","Gold",19.7210369679802
"Julius Shareef Abdur-Rahim","M",23,202,104,"United States",2000,"Basketball","Gold",25.4876972845799
"Yusup Abdusalomov","M",30,170,84,"Tajikistan",2008,"Wrestling","Silver",29.0657439446367
"Andrey Khakimovich Abduvaliyev","M",26,190,125,"Unified Team",1992,"Athletics","Gold",34.6260387811634
"Masashi Abe","M",28,175,64,"Japan",1994,"Nordic Combined","Gold",20.8979591836735
"Addis Abebe","M",21,160,50,"Ethiopia",1992,"Athletics","Bronze",19.53125
"Irene Abel","F",19,160,48,"East Germany",1972,"Gymnastics","Silver",18.75
"Jennifer Abel","F",20,160,62,"Canada",2012,"Diving","Bronze",24.21875
"Abelardo Fernndez Antua","M",22,NA,NA,"Spain",1992,"Football","Gold",NA
"Gezahgne Abera","M",22,166,58,"Ethiopia",2000,"Athletics","Gold",21.0480476121353
"Michael Brent Abernathy","M",22,182,84,"United States",2000,"Baseball","Gold",25.3592561284869
"Elvan Abeylegesse","F",25,159,40,"Turkey",2008,"Athletics","Silver",15.8221589335865
"Ismail Abilov (-Nizamolu)","M",29,172,82,"Bulgaria",1980,"Wrestling","Gold",27.7176852352623
"Denis Mikhaylovich Ablyazin","M",19,161,62,"Russia",2012,"Gymnastics","Bronze",23.9188302920412
"Denis Mikhaylovich Ablyazin","M",19,161,62,"Russia",2012,"Gymnastics","Silver",23.9188302920412
"Denis Mikhaylovich Ablyazin","M",24,161,62,"Russia",2016,"Gymnastics","Silver",23.9188302920412
"Denis Mikhaylovich Ablyazin","M",24,161,62,"Russia",2016,"Gymnastics","Silver",23.9188302920412
"Denis Mikhaylovich Ablyazin","M",24,161,62,"Russia",2016,"Gymnastics","Bronze",23.9188302920412
"Viktor Andreyevich Aboimov","M",22,190,78,"Soviet Union",1972,"Swimming","Silver",21.606648199446
"Viktor Andreyevich Aboimov","M",22,190,78,"Soviet Union",1972,"Swimming","Bronze",21.606648199446
"Matthew ""Matt"" Abood","M",30,197,92,"Australia",2016,"Swimming","Bronze",23.7058414285346
"Alaaeldin Ahmad El-Sayyid Abouelkassem","M",21,188,87,"Egypt",2012,"Fencing","Silver",24.6152105024898
"Attila brahm","M",21,192,88,"Hungary",1988,"Canoeing","Bronze",23.8715277777778
"Attila brahm","M",21,192,88,"Hungary",1988,"Canoeing","Gold",23.8715277777778
"Attila brahm","M",25,192,88,"Hungary",1992,"Canoeing","Silver",23.8715277777778
"Gary Abraham","M",21,175,64,"Great Britain",1980,"Swimming","Bronze",20.8979591836735
"Ara Abrahamian","M",29,191,84,"Sweden",2004,"Wrestling","Silver",23.025684602944
"Pavel Sergeyevich Abramov","M",25,198,89,"Russia",2004,"Volleyball","Bronze",22.7017651260076
"Nelli Mikhaylovna Abramova","F",24,171,60,"Soviet Union",1964,"Volleyball","Silver",20.5191340925413
"Yekaterina Konstantinovna Abramova","F",23,167,65,"Russia",2006,"Speed Skating","Bronze",23.3066800530675
"Alejandro ""lex"" Abrines Redondo","M",23,198,93,"Spain",2016,"Basketball","Bronze",23.7220691766146
"Svetlana Olegovna Abrosimova","F",28,188,77,"Russia",2008,"Basketball","Bronze",21.7858759619737
"Saypulla Atavovich Absaidov","M",22,168,68,"Soviet Union",1980,"Wrestling","Gold",24.092970521542
"Julien Absalon","M",23,180,68,"France",2004,"Cycling","Gold",20.9876543209877
"Julien Absalon","M",27,180,68,"France",2008,"Cycling","Gold",20.9876543209877
"Ahmad Abughaush","M",20,178,68,"Jordan",2016,"Taekwondo","Gold",21.4619366241636
"Ginko Abukawa-Chiba","F",26,148,46,"Japan",1964,"Gymnastics","Bronze",21.0007304601899
"Aleksandr Veniaminovich Abushakhmetov","M",25,189,81,"Soviet Union",1980,"Fencing","Bronze",22.6757369614512
"Magomedgasan Mingazhutdinovich Abushev","M",20,170,62,"Soviet Union",1980,"Wrestling","Gold",21.4532871972318
"Andreea Roxana Acatrinei","F",16,150,40,"Romania",2008,"Gymnastics","Bronze",17.7777777777778
"William Accambray","M",24,194,104,"France",2012,"Handball","Gold",27.6331172281858
"Paul Accola","M",20,176,82,"Switzerland",1988,"Alpine Skiing","Bronze",26.4721074380165
"Anibl Santiago Acevedo","M",21,176,67,"Puerto Rico",1992,"Boxing","Bronze",21.6296487603306
"Daniel Aceves Villagrn","M",19,158,52,"Mexico",1984,"Wrestling","Silver",20.829995193078
"Joachim Yaw Acheampong","M",18,181,73,"Ghana",1992,"Football","Bronze",22.2825921064681
"Alfred Achermann","M",24,176,75,"Switzerland",1984,"Cycling","Silver",24.2122933884298
"Abdel Hak Achik","M",29,165,54,"Morocco",1988,"Boxing","Bronze",19.8347107438017
"Mohamed Abdelhak Achik","M",27,174,57,"Morocco",1992,"Boxing","Bronze",18.8267934998018
"Rita Nikolayevna Achkina","F",30,168,63,"Soviet Union",1968,"Cross Country Skiing","Bronze",22.3214285714286
"Chantal Achterberg","F",27,172,72,"Netherlands",2012,"Rowing","Bronze",24.3374797187669
"Chantal Achterberg","F",31,172,72,"Netherlands",2016,"Rowing","Silver",24.3374797187669
"Paul Douglas Ackerley","M",27,179,68,"New Zealand",1976,"Hockey","Gold",21.2228082768952
"Ronny Ackermann","M",24,184,69,"Germany",2002,"Nordic Combined","Silver",20.3804347826087
"Ronny Ackermann","M",24,184,69,"Germany",2002,"Nordic Combined","Silver",20.3804347826087
"Ronny Ackermann","M",28,184,69,"Germany",2006,"Nordic Combined","Silver",20.3804347826087
"Donat Acklin","M",26,190,99,"Switzerland-1",1992,"Bobsleigh","Gold",27.4238227146814
"Donat Acklin","M",26,190,99,"Switzerland-1",1992,"Bobsleigh","Bronze",27.4238227146814
"Donat Acklin","M",28,190,99,"Switzerland-1",1994,"Bobsleigh","Gold",27.4238227146814
"Donat Acklin","M",28,190,99,"Switzerland-1",1994,"Bobsleigh","Silver",27.4238227146814
"Guido Acklin","M",24,200,104,"Switzerland-2",1994,"Bobsleigh","Silver",26
"Lautaro Germn Acosta","M",20,168,72,"Argentina",2008,"Football","Gold",25.5102040816327
"Osmay Acosta Duarte","M",23,188,91,"Cuba",2008,"Boxing","Bronze",25.7469443186962
"Kazimierz Piotr Adach","M",23,162,60,"Poland",1980,"Boxing","Bronze",22.8623685413809
"Ji Adam","M",25,187,83,"Czechoslovakia",1976,"Modern Pentathlon","Silver",23.7353084160256
"Michael B. ""Mike"" Adam","M",24,175,95,"Canada",2006,"Curling","Gold",31.0204081632653
"Dariusz Adamczuk","M",22,179,78,"Poland",1992,"Football","Silver",24.3438094940857
"Adrian Neil Adams","M",21,178,78,"Great Britain",1980,"Judo","Silver",24.6181037747759
"Adrian Neil Adams","M",25,178,78,"Great Britain",1984,"Judo","Silver",24.6181037747759
"Nicola Virginia Adams","F",29,164,51,"Great Britain",2012,"Boxing","Gold",18.9619274241523
"Nicola Virginia Adams","F",33,164,51,"Great Britain",2016,"Boxing","Gold",18.9619274241523
"Rachael Alexis Adams","F",26,188,81,"United States",2016,"Volleyball","Bronze",22.9176097781802
"Victoria ""Vicki"" Adams","F",24,164,69,"Great Britain",2014,"Curling","Bronze",25.6543723973825
"Valerie Kasanita Adams-Vili (-Price)","F",23,193,120,"New Zealand",2008,"Athletics","Gold",32.2156299497973
"Valerie Kasanita Adams-Vili (-Price)","F",27,193,120,"New Zealand",2012,"Athletics","Gold",32.2156299497973
"Valerie Kasanita Adams-Vili (-Price)","F",31,193,120,"New Zealand",2016,"Athletics","Silver",32.2156299497973
"Filip Kamil Adamski","M",29,189,87,"Germany",2012,"Rowing","Gold",24.355421180818
"Jerzy Adamski","M",23,171,58,"Poland",1960,"Boxing","Silver",19.8351629561233
"Simon Addo","M",17,180,79,"Ghana",1992,"Football","Bronze",24.3827160493827
"Olubayo Adefemi","M",22,181,82,"Nigeria",2008,"Football","Silver",25.0297609963066
"Ayodele ""Dele"" Adeleye","M",19,190,80,"Nigeria",2008,"Football","Silver",22.1606648199446
"Ademir Roque Kaefer","M",24,179,74,"Brazil",1984,"Football","Silver",23.0954090072095
"Ademir Roque Kaefer","M",28,179,74,"Brazil",1988,"Football","Silver",23.0954090072095
"Olapade Charles Adeniken","M",22,186,78,"Nigeria",1992,"Athletics","Silver",22.5459590704128
"Adenzia Aparecida Ferreira da Silva","F",25,187,65,"Brazil",2012,"Volleyball","Gold",18.5878921330321
"Franck Adisson","M",23,180,70,"France-1",1992,"Canoeing","Bronze",21.6049382716049
"Franck Adisson","M",26,180,70,"France-1",1996,"Canoeing","Gold",21.6049382716049
"Richard ""Richy""  Adjei","M",27,190,110,"Germany-2",2010,"Bobsleigh","Silver",30.4709141274238
"Sammi Adjei","M",18,NA,NA,"Ghana",1992,"Football","Bronze",NA
"Derrick Ralph Adkins","M",26,188,80,"United States",1996,"Athletics","Gold",22.6346763241286
"Daniel Adler","M",26,180,72,"Brazil",1984,"Sailing","Silver",22.2222222222222
"Egon Adler","M",23,172,62,"Germany",1960,"Cycling","Silver",20.9572742022715
"Rebecca ""Becky"" Adlington","F",19,179,70,"Great Britain",2008,"Swimming","Gold",21.8470085203333
"Rebecca ""Becky"" Adlington","F",19,179,70,"Great Britain",2008,"Swimming","Gold",21.8470085203333
"Rebecca ""Becky"" Adlington","F",23,179,70,"Great Britain",2012,"Swimming","Bronze",21.8470085203333
"Rebecca ""Becky"" Adlington","F",23,179,70,"Great Britain",2012,"Swimming","Bronze",21.8470085203333
"Dainius Adomaitis","M",26,202,100,"Lithuania",2000,"Basketball","Bronze",24.507401235173
"Nathan Ghar-Jun Adrian","M",19,198,100,"United States",2008,"Swimming","Gold",25.507601265177
"Nathan Ghar-Jun Adrian","M",23,198,100,"United States",2012,"Swimming","Gold",25.507601265177
"Nathan Ghar-Jun Adrian","M",23,198,100,"United States",2012,"Swimming","Silver",25.507601265177
"Nathan Ghar-Jun Adrian","M",23,198,100,"United States",2012,"Swimming","Gold",25.507601265177
"Nathan Ghar-Jun Adrian","M",27,198,100,"United States",2016,"Swimming","Bronze",25.507601265177
"Nathan Ghar-Jun Adrian","M",27,198,100,"United States",2016,"Swimming","Bronze",25.507601265177
"Nathan Ghar-Jun Adrian","M",27,198,100,"United States",2016,"Swimming","Gold",25.507601265177
"Nathan Ghar-Jun Adrian","M",27,198,100,"United States",2016,"Swimming","Gold",25.507601265177
"Adriana Aparecida dos Santos","F",25,180,61,"Brazil",1996,"Basketball","Silver",18.8271604938272
"Adriana Aparecida dos Santos","F",29,180,61,"Brazil",2000,"Basketball","Bronze",18.8271604938272
"Adriana ""Adrianinha"" Moiss Pinto","F",21,170,65,"Brazil",2000,"Basketball","Bronze",22.4913494809689
"Attila Adrovicz","M",30,189,87,"Hungary",1996,"Canoeing","Silver",24.355421180818
"Klaus Aeffke","M",24,189,82,"Germany",1964,"Rowing","Silver",22.9556843313457
"Kseniya Dmitriyevna Afanasyeva","F",20,158,48,"Russia",2012,"Gymnastics","Silver",19.2276878705336
"Maksim Sergeyevich Afinogenov","M",22,183,88,"Russia",2002,"Ice Hockey","Bronze",26.2772850786825
"Olabisi ""Bisi"" Afolabi","F",20,180,62,"Nigeria",1996,"Athletics","Silver",19.1358024691358
"Felicia Afrsiloaie (-Jitianu)","F",22,178,70,"Romania",1976,"Rowing","Bronze",22.0931700542861
"Cecil Sebastian Afrika","M",28,175,75,"South Africa",2016,"Rugby Sevens","Bronze",24.4897959183673
"Muhammad Afzal Manna","M",25,173,76,"Pakistan",1964,"Hockey","Silver",25.3934311203181
"Timothy Ernest Victor Kwizera ""Tim"" Agaba","M",27,193,104,"South Africa",2016,"Rugby Sevens","Bronze",27.9202126231577
"Lavinia Agache (-Carney)","F",16,148,40,"Romania",1984,"Gymnastics","Gold",18.2615047479912
"Lavinia Agache (-Carney)","F",16,148,40,"Romania",1984,"Gymnastics","Bronze",18.2615047479912
"Luca Agamennoni","M",24,187,93,"Italy",2004,"Rowing","Bronze",26.5949841287998
"Luca Agamennoni","M",27,187,93,"Italy",2008,"Rowing","Silver",26.5949841287998
"Andre Kirk Agassi","M",26,180,80,"United States",1996,"Tennis","Gold",24.6913580246914
"Clarisse Agbegnenou","F",23,164,66,"France",2016,"Judo","Silver",24.5389649018441
"Viktor Ivanovich Ageyev","M",24,184,80,"Soviet Union",1960,"Water Polo","Silver",23.6294896030246
"Viktor Ivanovich Ageyev","M",28,184,80,"Soviet Union",1964,"Water Polo","Bronze",23.6294896030246
"Marilyn Agliotti","F",29,172,58,"Netherlands",2008,"Hockey","Gold",19.6051919956733
"Marilyn Agliotti","F",33,172,58,"Netherlands",2012,"Hockey","Gold",19.6051919956733
"Yannick Agnel","M",20,202,90,"France",2012,"Swimming","Gold",22.0566611116557
"Yannick Agnel","M",20,202,90,"France",2012,"Swimming","Gold",22.0566611116557
"Yannick Agnel","M",20,202,90,"France",2012,"Swimming","Silver",22.0566611116557
"Meghan Christina Agosta (-Marciano)","F",18,168,67,"Canada",2006,"Ice Hockey","Gold",23.7386621315193
"Meghan Christina Agosta (-Marciano)","F",23,168,67,"Canada",2010,"Ice Hockey","Gold",23.7386621315193
"Meghan Christina Agosta (-Marciano)","F",26,168,67,"Canada",2014,"Ice Hockey","Gold",23.7386621315193
"Benjamin Alexandro ""Ben"" Agosto","M",24,178,75,"United States-1",2006,"Figure Skating","Silver",23.6712536295922
"Judit goston-Mendelnyi","F",27,164,62,"Hungary",1964,"Fencing","Gold",23.051754907793
"Sergio Leonel Agero del Castillo","M",20,172,74,"Argentina",2008,"Football","Gold",25.013520822066
"Taismary ""Tai"" Agero Leiva (-Botteghi)","F",23,175,70,"Cuba",2000,"Volleyball","Gold",22.8571428571429
"Jos Aguilar Pulsn","M",20,173,64,"Cuba",1980,"Boxing","Bronze",21.3839419960573
"Macarena Aguilar Daz","F",27,170,67,"Spain",2012,"Handball","Bronze",23.1833910034602
"Sandra Aguilar Navarro","F",23,167,50,"Spain",2016,"Rhythmic Gymnastics","Silver",17.9282154254366
"Jorge Luis Aguilera Ruiz","M",26,172,64,"Cuba",1992,"Athletics","Bronze",21.6333153055706
"Sri Wahyuni Agustiani","F",21,147,47,"Indonesia",2016,"Weightlifting","Silver",21.7501966773104
"Robyn Mokihana Ah Mow-Santos","F",32,172,67,"United States",2008,"Volleyball","Silver",22.6473769605192
"Kevin Joseph Ahearn","M",23,175,73,"United States",1972,"Ice Hockey","Silver",23.8367346938776
"Mats Bertil hlberg","M",32,179,78,"Sweden",1980,"Ice Hockey","Bronze",24.3438094940857
"Annica Gunilla hln","F",27,177,75,"Sweden",2002,"Ice Hockey","Bronze",23.9394809920521
"Thomas Valter hln","M",24,182,90,"Sweden",1984,"Ice Hockey","Bronze",27.170631566236
"Christian Ahlmann","M",29,189,80,"Germany",2004,"Equestrianism","Bronze",22.3957895915568
"Christian Ahlmann","M",41,189,80,"Germany",2016,"Equestrianism","Bronze",22.3957895915568
"Tontowi Ahmad","M",29,179,72,"Indonesia-1",2016,"Badminton","Gold",22.4712087637714
"Jrg Ahmann","M",34,190,88,"Germany-1",2000,"Beach Volleyball","Bronze",24.3767313019391
"Christine M. ""Crissy"" Ahmann-Leighton (-Perham)","F",22,172,52,"United States",1992,"Swimming","Gold",17.5770686857761
"Christine M. ""Crissy"" Ahmann-Leighton (-Perham)","F",22,172,52,"United States",1992,"Swimming","Silver",17.5770686857761
"Christine M. ""Crissy"" Ahmann-Leighton (-Perham)","F",22,172,52,"United States",1992,"Swimming","Gold",17.5770686857761
"Muhammad Akhlaq Ahmed","M",20,NA,NA,"Pakistan",1992,"Hockey","Bronze",NA
"Muhammad Ashfaq Ahmed","M",21,162,62,"Pakistan",1968,"Hockey","Gold",23.6244474927602
"Bashir Ahmed","M",25,171,67,"Pakistan",1960,"Hockey","Gold",22.9130330700044
"Ishtiaq Ahmed","M",21,170,62,"Pakistan",1984,"Hockey","Gold",21.4532871972318
"Manzoor Ahmed","M",24,169,75,"Pakistan",1992,"Hockey","Bronze",26.2595847484332
"Mushtaq Ahmed","M",28,170,70,"Pakistan",1984,"Hockey","Gold",24.2214532871972
"Mushtaq Ahmed","M",27,173,61,"Pakistan",1960,"Hockey","Gold",20.3815697149921
"Riaz Ahmed","M",27,150,70,"Pakistan",1968,"Hockey","Gold",31.1111111111111
"Riaz Ahmed","M",30,150,70,"Pakistan",1972,"Hockey","Silver",31.1111111111111
"Shahbaz Ahmed","M",23,175,61,"Pakistan",1992,"Hockey","Bronze",19.9183673469388
"Janne Petteri Ahonen","M",24,184,66,"Finland",2002,"Ski Jumping","Silver",19.4943289224953
"Janne Petteri Ahonen","M",28,184,66,"Finland",2006,"Ski Jumping","Silver",19.4943289224953
"Peter Ahrendt","M",30,169,66,"Mutafo",1964,"Sailing","Silver",23.1084345786212
"Brigitte Ahrenholz","F",23,178,85,"East Germany",1976,"Rowing","Gold",26.8274207802045
"Christian ""Chris"" Ahrens","M",28,195,97,"United States",2004,"Rowing","Gold",25.5095332018409
"Thomas Ahrens","M",16,163,50,"Germany",1964,"Rowing","Silver",18.8189243102864
"Matteo Aicardi","M",26,192,102,"Italy",2012,"Water Polo","Silver",27.6692708333333
"Matteo Aicardi","M",30,192,102,"Italy",2016,"Water Polo","Bronze",27.6692708333333
"Mara Magdalena Aicega Amicarelli","F",26,165,60,"Argentina",2000,"Hockey","Silver",22.038567493113
"Mara Magdalena Aicega Amicarelli","F",30,165,60,"Argentina",2004,"Hockey","Bronze",22.038567493113
"Mara Magdalena Aicega Amicarelli","F",34,165,60,"Argentina",2008,"Hockey","Bronze",22.038567493113
"Rosaria Aiello","F",27,172,74,"Italy",2016,"Water Polo","Silver",25.013520822066
"Hannes Aigner","M",23,183,75,"Germany",2012,"Canoeing","Bronze",22.3954134193317
"Nobuyuki Aihara","M",25,154,53,"Japan",1960,"Gymnastics","Gold",22.3477820880418
"Nobuyuki Aihara","M",25,154,53,"Japan",1960,"Gymnastics","Gold",22.3477820880418
"Yutaka Aihara","M",21,156,55,"Japan",1992,"Gymnastics","Bronze",22.6002629848784
"Ryoji Aikawa","M",28,183,85,"Japan",2004,"Baseball","Bronze",25.3814685419093
"Charles Benedict ""Ben"" Ainslie","M",19,183,90,"Great Britain",1996,"Sailing","Silver",26.8744961031981
"Charles Benedict ""Ben"" Ainslie","M",23,183,90,"Great Britain",2000,"Sailing","Gold",26.8744961031981
"Charles Benedict ""Ben"" Ainslie","M",27,183,90,"Great Britain",2004,"Sailing","Gold",26.8744961031981
"Charles Benedict ""Ben"" Ainslie","M",31,183,90,"Great Britain",2008,"Sailing","Gold",26.8744961031981
"Charles Benedict ""Ben"" Ainslie","M",35,183,90,"Great Britain",2012,"Sailing","Gold",26.8744961031981
"Kurt Harold Ainsworth","M",22,187,84,"United States",2000,"Baseball","Gold",24.021275987303
"Robin Allingham Aisher","M",34,185,85,"Great Britain",1968,"Sailing","Bronze",24.8356464572681
"Brett Aitken","M",21,173,65,"Australia",1992,"Cycling","Silver",21.7180660897457
"Brett Aitken","M",25,173,65,"Australia",1996,"Cycling","Bronze",21.7180660897457
"Brett Aitken","M",29,173,65,"Australia",2000,"Cycling","Gold",21.7180660897457
"Artur Surenovych Aivazian","M",35,177,88,"Ukraine",2008,"Shooting","Gold",28.0889910306745
"Eirini Andili","F",17,167,45,"Greece",2000,"Rhythmic Gymnastics","Bronze",16.1353938828929
"Oluwafemi ""Junior"" Ajayi","M",20,172,79,"Nigeria",2016,"Football","Bronze",26.7036235803137
"Omar Ajete Iglesias","M",27,175,93,"Cuba",1992,"Baseball","Gold",30.3673469387755
"Omar Ajete Iglesias","M",31,175,93,"Cuba",1996,"Baseball","Gold",30.3673469387755
"Omar Ajete Iglesias","M",35,175,93,"Cuba",2000,"Baseball","Silver",30.3673469387755
"Ebenezer Oluwafemi ""Femi"" Ajilore","M",23,185,75,"Nigeria",2008,"Football","Silver",21.9138056975895
"Mobolade Abimbola Ajomale","M",20,180,62,"Canada",2016,"Athletics","Bronze",19.1358024691358
"Chioma Ajunwa (-Opara)","F",24,164,57,"Nigeria",1996,"Athletics","Gold",21.192742415229
"Kriss Kezie Uche Chukwu Duru Akabusi","M",25,185,81,"Great Britain",1984,"Athletics","Silver",23.6669101533966
"Kriss Kezie Uche Chukwu Duru Akabusi","M",33,185,81,"Great Britain",1992,"Athletics","Bronze",23.6669101533966
"Kriss Kezie Uche Chukwu Duru Akabusi","M",33,185,81,"Great Britain",1992,"Athletics","Bronze",23.6669101533966
"Kosei Akaishi","M",19,172,74,"Japan",1984,"Wrestling","Silver",25.013520822066
"Kosei Akaishi","M",27,172,74,"Japan",1992,"Wrestling","Bronze",25.013520822066
"Yuichi Akasaka","M",24,169,64,"Japan",1992,"Short Track Speed Skating","Bronze",22.4081789853296
"Hseyin Akba","M",NA,167,57,"Turkey",1964,"Wrestling","Silver",20.4381655849977
"Vehbi Akda","M",23,168,62,"Turkey",1972,"Wrestling","Silver",21.9671201814059
"Michelle Anne Akers","F",30,178,68,"United States",1996,"Football","Gold",21.4619366241636
"Taha Akgl","M",25,192,125,"Turkey",2016,"Wrestling","Gold",33.9084201388889
"Yelena Rabigovna Akhaminova (-Sokolovskaya)","F",18,181,80,"Soviet Union",1980,"Volleyball","Gold",24.4192790207869
"Albina Khamitovna Akhatova","F",21,160,55,"Russia",1998,"Biathlon","Silver",21.484375
"Albina Khamitovna Akhatova","F",25,160,55,"Russia",2002,"Biathlon","Bronze",21.484375
"Albina Khamitovna Akhatova","F",29,160,55,"Russia",2006,"Biathlon","Bronze",21.484375
"Albina Khamitovna Akhatova","F",29,160,55,"Russia",2006,"Biathlon","Bronze",21.484375
"Albina Khamitovna Akhatova","F",29,160,55,"Russia",2006,"Biathlon","Gold",21.484375
"Murodzhon Kakharovich Akhmadaliyev","M",21,165,56,"Uzbekistan",2016,"Boxing","Bronze",20.5693296602388
"Artur Kamilevich Akhmatkhuzin","M",28,187,79,"Russia",2016,"Fencing","Gold",22.591438130916
"Bakhtiyar Shakhabutdinovich Akhmedov","M",21,190,120,"Russia",2008,"Wrestling","Silver",33.2409972299169
"Lyutvi Dzhiber Akhmedov","M",34,184,87,"Bulgaria",1964,"Wrestling","Silver",25.6970699432892
"Leyla Begnyazovna Akhmerova","F",23,160,52,"Soviet Union",1980,"Hockey","Bronze",20.3125
"Igor Vladimirovich Akhremchik","M",26,180,79,"Soviet Union",1960,"Rowing","Bronze",24.3827160493827
"Gulraiz Akhtar","M",25,172,61,"Pakistan",1968,"Hockey","Gold",20.619253650622
"Naeem Akhtar","M",23,173,65,"Pakistan",1984,"Hockey","Gold",21.7180660897457
"John Akii-Bua","M",22,188,77,"Uganda",1972,"Athletics","Gold",21.7858759619737
"Anatoly Ivanovich Akimov","M",24,181,84,"Soviet Union",1972,"Water Polo","Gold",25.6402429718263
