"Name","Sex","Age","Height","Weight","Team","Year","Sport","Medal","BMI"
"Arianna Fontana","F",15,164,63,"Italy",2006,"Short Track Speed Skating","Bronze",23.4235574063058
"Arianna Fontana","F",19,164,63,"Italy",2010,"Short Track Speed Skating","Bronze",23.4235574063058
"Arianna Fontana","F",23,164,63,"Italy",2014,"Short Track Speed Skating","Silver",23.4235574063058
"Arianna Fontana","F",23,164,63,"Italy",2014,"Short Track Speed Skating","Bronze",23.4235574063058
"Arianna Fontana","F",23,164,63,"Italy",2014,"Short Track Speed Skating","Bronze",23.4235574063058
"Marco Aurelio Fontana","M",27,172,68,"Italy",2012,"Cycling","Bronze",22.9853975121687
"Karen Denise Fonteyne","F",27,174,60,"Canada",1996,"Synchronized Swimming","Silver",19.8176773682124
"Nouchka Fontijn","F",28,180,75,"Netherlands",2016,"Boxing","Silver",23.1481481481481
"Adam David Vernon Foote","M",30,188,97,"Canada",2002,"Ice Hockey","Gold",27.4445450430059
"Frank Forberger","M",25,190,87,"East Germany",1968,"Rowing","Gold",24.0997229916898
"Frank Forberger","M",29,190,87,"East Germany",1972,"Rowing","Gold",24.0997229916898
"David John Oliver Forbes","M",38,185,100,"Australia",1972,"Sailing","Gold",29.218407596786
"James Ricardo ""Jim"" Forbes","M",20,203,91,"United States",1972,"Basketball","Silver",22.0825547817224
"John Robert Forbes","M",22,181,78,"Australia",1992,"Sailing","Bronze",23.8087970452672
"John Robert Forbes","M",30,181,78,"Australia",2000,"Sailing","Silver",23.8087970452672
"Shashalee Forbes","F",20,160,55,"Jamaica",2016,"Athletics","Silver",21.484375
"Enrico Forcella Pelliccioni","M",52,171,60,"Venezuela",1960,"Shooting","Bronze",20.5191340925413
"Rosalba Forciniti","F",26,159,52,"Italy",2012,"Judo","Bronze",20.5688066136624
"Atina Ford (Johnston-)","F",26,160,68,"Canada",1998,"Curling","Gold",26.5625
"Bruce Singleton Ford","M",29,187,84,"Canada",1984,"Rowing","Bronze",24.021275987303
"Michelle Jan Ford (-Eriksson)","F",18,159,54,"Australia",1980,"Swimming","Gold",21.3599145603418
"Michelle Jan Ford (-Eriksson)","F",18,159,54,"Australia",1980,"Swimming","Bronze",21.3599145603418
"Philip Jackson ""Phil"" Ford, Jr.","M",20,188,77,"United States",1976,"Basketball","Gold",21.7858759619737
"Russell Ford","M",28,181,77,"Australia",2012,"Hockey","Bronze",23.5035560575074
