Team,Sport,Total_Medals,Country_Total
Hungary,Football,64,702
Hungary,Gymnastics,23,702
Hungary,Handball,45,702
Hungary,Judo,9,702
Hungary,Modern Pentathlon,33,702
Hungary,Rowing,4,702
Hungary,Sailing,2,702
Hungary,Shooting,9,702
Hungary,Swimming,44,702
Hungary,Water Polo,109,702
Hungary,Weightlifting,20,702
Hungary,Wrestling,31,702
Italy,Alpine Skiing,28,959
Italy,Archery,15,959
Italy,Athletics,40,959
Italy,Basketball,24,959
Italy,Biathlon,10,959
Italy,Boxing,28,959
Italy,Canoeing,23,959
Italy,Cross Country Skiing,61,959
Italy,Cycling,65,959
Italy,Diving,12,959
Italy,Equestrianism,24,959
Italy,Fencing,179,959
Italy,Figure Skating,1,959
Italy,Football,17,959
Italy,Gymnastics,15,959
Italy,Judo,15,959
Italy,Luge,10,959
Italy,Modern Pentathlon,12,959
Italy,Nordic Combined,1,959
Italy,Rhythmic Gymnastics,12,959
Italy,Rowing,74,959
Italy,Sailing,13,959
Italy,Shooting,38,959
Italy,Short Track Speed Skating,21,959
Italy,Snowboarding,2,959
Italy,Speed Skating,6,959
Italy,Swimming,27,959
Italy,Taekwondo,3,959
Italy,Volleyball,72,959
Italy,Water Polo,100,959
Italy,Weightlifting,3,959
Italy,Wrestling,8,959
Japan,Archery,7,807
Japan,Athletics,18,807
Japan,Badminton,3,807
Japan,Baseball,64,807
Japan,Boxing,5,807
Japan,Canoeing,1,807
Japan,Cycling,6,807
Japan,Fencing,5,807
Japan,Figure Skating,5,807
Japan,Football,34,807
Japan,Freestyle Skiing,3,807
Japan,Gymnastics,146,807
Japan,Judo,84,807
Japan,Nordic Combined,8,807
Japan,Sailing,4,807
Japan,Shooting,6,807
Japan,Short Track Speed Skating,6,807
Japan,Ski Jumping,20,807
Japan,Snowboarding,3,807
Japan,Softball,44,807
Japan,Speed Skating,17,807
Japan,Swimming,76,807
Japan,Synchronized Swimming,52,807
Japan,Table Tennis,10,807
Japan,Taekwondo,1,807
Japan,Tennis,1,807
Japan,Volleyball,101,807
Japan,Weightlifting,14,807
Japan,Wrestling,63,807
Netherlands,Archery,1,713
Netherlands,Athletics,5,713
Netherlands,Badminton,1,713
Netherlands,Boxing,5,713
Netherlands,Canoeing,6,713
Netherlands,Cycling,43,713
Netherlands,Equestrianism,33,713
Netherlands,Figure Skating,3,713
Netherlands,Gymnastics,2,713
Netherlands,Hockey,209,713
Netherlands,Judo,23,713
Netherlands,Rowing,116,713
Netherlands,Sailing,16,713
Netherlands,Shooting,1,713
Netherlands,Short Track Speed Skating,1,713
Netherlands,Snowboarding,1,713
Netherlands,Speed Skating,114,713
Netherlands,Swimming,85,713
Netherlands,Tennis,2,713
Netherlands,Volleyball,24,713
Netherlands,Water Polo,22,713
Norway,Alpine Skiing,25,547
Norway,Athletics,8,547
Norway,Biathlon,62,547
Norway,Canoeing,19,547
Norway,Cross Country Skiing,139,547
Norway,Curling,14,547
Norway,Cycling,4,547
Norway,Fencing,1,547
Norway,Football,33,547
Norway,Freestyle Skiing,8,547
Norway,Handball,85,547
Norway,Nordic Combined,25,547
Norway,Rowing,28,547
Norway,Sailing,10,547
Norway,Shooting,4,547
Norway,Ski Jumping,25,547
Norway,Snowboarding,4,547
Norway,Speed Skating,45,547
Norway,Swimming,2,547
Norway,Taekwondo,2,547
Norway,Weightlifting,1,547
Norway,Wrestling,3,547
Poland,Archery,4,479
Poland,Athletics,63,479
Poland,Biathlon,1,479
Poland,Boxing,38,479
Poland,Canoeing,35,479
Poland,Cross Country Skiing,5,479
Poland,Cycling,20,479
Poland,Equestrianism,5,479
Poland,Fencing,63,479
Poland,Football,50,479
Poland,Gymnastics,2,479
Poland,Handball,14,479
Poland,Judo,8,479
Poland,Modern Pentathlon,6,479
Poland,Rowing,34,479
Poland,Sailing,4,479
Poland,Shooting,10,479
Poland,Ski Jumping,7,479
Poland,Speed Skating,13,479
Poland,Swimming,6,479
Poland,Volleyball,34,479
Poland,Weightlifting,31,479
Poland,Wrestling,26,479
Romania,Athletics,35,611
Romania,Boxing,19,611
Romania,Canoeing,63,611
Romania,Equestrianism,3,611
Romania,Fencing,46,611
Romania,Gymnastics,128,611
Romania,Handball,58,611
Romania,Judo,6,611
Romania,Rhythmic Gymnastics,1,611
Romania,Rowing,175,611
Romania,Shooting,11,611
Romania,Swimming,9,611
Romania,Tennis,2,611
Romania,Volleyball,10,611
Romania,Weightlifting,13,611
Romania,Wrestling,32,611
Russia,Alpine Skiing,1,1100
Russia,Archery,4,1100
Russia,Athletics,103,1100
Russia,Badminton,2,1100
Russia,Basketball,36,1100
Russia,Biathlon,57,1100
Russia,Boxing,30,1100
Russia,Canoeing,22,1100
Russia,Cross Country Skiing,49,1100
Russia,Cycling,24,1100
Russia,Diving,27,1100
Russia,Fencing,62,1100
Russia,Figure Skating,19,1100
Russia,Freestyle Skiing,4,1100
Russia,Gymnastics,83,1100
Russia,Handball,58,1100
Russia,Ice Hockey,43,1100
Russia,Judo,16,1100
Russia,Luge,6,1100
Russia,Modern Pentathlon,5,1100
Russia,Nordic Combined,1,1100
Russia,Rhythmic Gymnastics,45,1100
Russia,Rowing,17,1100
Russia,Sailing,4,1100
Russia,Shooting,31,1100
Russia,Short Track Speed Skating,8,1100
Russia,Skeleton,3,1100
Russia,Snowboarding,5,1100
Russia,Speed Skating,20,1100
Russia,Swimming,43,1100
Russia,Synchronized Swimming,54,1100
Russia,Taekwondo,4,1100
Russia,Tennis,6,1100
Russia,Trampolining,4,1100
Russia,Volleyball,70,1100
Russia,Water Polo,51,1100
Russia,Weightlifting,26,1100
Russia,Wrestling,57,1100
South Korea,Archery,69,586
South Korea,Athletics,2,586
South Korea,Badminton,5,586
South Korea,Baseball,48,586
South Korea,Basketball,11,586
South Korea,Boxing,17,586
South Korea,Fencing,20,586
South Korea,Figure Skating,2,586
South Korea,Football,18,586
South Korea,Golf,1,586
South Korea,Gymnastics,9,586
South Korea,Handball,96,586
South Korea,Hockey,48,586
South Korea,Judo,43,586
South Korea,Shooting,16,586
South Korea,Short Track Speed Skating,73,586
South Korea,Speed Skating,11,586
South Korea,Swimming,4,586
South Korea,Table Tennis,17,586
South Korea,Taekwondo,19,586
South Korea,Volleyball,12,586
South Korea,Weightlifting,9,586
South Korea,Wrestling,36,586
Soviet Union,Archery,7,2128
Soviet Union,Athletics,197,2128
Soviet Union,Basketball,120,2128
Soviet Union,Biathlon,37,2128
Soviet Union,Boxing,39,2128
Soviet Union,Canoeing,76,2128
Soviet Union,Cross Country Skiing,99,2128
Soviet Union,Cycling,53,2128
Soviet Union,Diving,14,2128
Soviet Union,Equestrianism,29,2128
Soviet Union,Fencing,140,2128
Soviet Union,Figure Skating,4,2128
Soviet Union,Football,69,2128
Soviet Union,Gymnastics,207,2128
Soviet Union,Handball,84,2128
Soviet Union,Hockey,32,2128
Soviet Union,Ice Hockey,151,2128
Soviet Union,Judo,23,2128
Soviet Union,Luge,5,2128
Soviet Union,Modern Pentathlon,24,2128
Soviet Union,Nordic Combined,3,2128
Soviet Union,Rhythmic Gymnastics,2,2128
Soviet Union,Rowing,135,2128
