Team,Sport,Total_Medals,Country_Total,Rank
Ukraine,Cycling,6,197,34
Ukraine,Diving,4,197,34
Ukraine,Fencing,12,197,34
Ukraine,Figure Skating,1,197,34
Ukraine,Gymnastics,23,197,34
Ukraine,Handball,15,197,34
Ukraine,Judo,3,197,34
Ukraine,Modern Pentathlon,2,197,34
Ukraine,Rhythmic Gymnastics,5,197,34
Ukraine,Rowing,12,197,34
Ukraine,Sailing,11,197,34
Ukraine,Shooting,8,197,34
Ukraine,Swimming,7,197,34
Ukraine,Trampolining,2,197,34
Ukraine,Weightlifting,8,197,34
Ukraine,Wrestling,15,197,34
Croatia,Alpine Skiing,10,149,35
Croatia,Athletics,5,149,35
Croatia,Basketball,12,149,35
Croatia,Biathlon,1,149,35
Croatia,Boxing,1,149,35
Croatia,Gymnastics,1,149,35
Croatia,Handball,46,149,35
Croatia,Rowing,18,149,35
Croatia,Sailing,3,149,35
Croatia,Shooting,3,149,35
Croatia,Swimming,1,149,35
Croatia,Taekwondo,3,149,35
Croatia,Tennis,5,149,35
Croatia,Water Polo,38,149,35
Croatia,Weightlifting,2,149,35
Jamaica,Athletics,145,146,36
Jamaica,Cycling,1,146,36
Belarus,Athletics,17,139,37
Belarus,Biathlon,8,139,37
Belarus,Boxing,2,139,37
Belarus,Canoeing,22,139,37
Belarus,Cycling,1,139,37
Belarus,Freestyle Skiing,6,139,37
Belarus,Gymnastics,4,139,37
Belarus,Judo,2,139,37
Belarus,Modern Pentathlon,1,139,37
Belarus,Rhythmic Gymnastics,21,139,37
Belarus,Rowing,17,139,37
Belarus,Shooting,7,139,37
Belarus,Speed Skating,1,139,37
Belarus,Swimming,3,139,37
Belarus,Tennis,3,139,37
Belarus,Trampolining,1,139,37
Belarus,Weightlifting,12,139,37
Belarus,Wrestling,11,139,37
Czech Republic,Alpine Skiing,1,134,38
Czech Republic,Athletics,12,134,38
Czech Republic,Biathlon,8,134,38
Czech Republic,Boxing,1,134,38
Czech Republic,Canoeing,18,134,38
Czech Republic,Cross Country Skiing,12,134,38
Czech Republic,Cycling,2,134,38
Czech Republic,Freestyle Skiing,1,134,38
Czech Republic,Ice Hockey,45,134,38
Czech Republic,Judo,1,134,38
Czech Republic,Modern Pentathlon,2,134,38
Czech Republic,Rowing,8,134,38
Czech Republic,Sailing,1,134,38
Czech Republic,Shooting,9,134,38
Czech Republic,Snowboarding,1,134,38
Czech Republic,Speed Skating,5,134,38
Czech Republic,Tennis,6,134,38
Czech Republic,Triathlon,1,134,38
Pakistan,Boxing,1,107,39
Pakistan,Hockey,105,107,39
Pakistan,Wrestling,1,107,39
Kenya,Athletics,99,106,40
Kenya,Boxing,7,106,40
