Team,Sport,Total_Medals,Country_Total,Rank
Italy,Canoeing,23,959,6
Italy,Cross Country Skiing,61,959,6
Italy,Cycling,65,959,6
Italy,Diving,12,959,6
Italy,Equestrianism,24,959,6
Italy,Fencing,179,959,6
Italy,Figure Skating,1,959,6
Italy,Football,17,959,6
Italy,Gymnastics,15,959,6
Italy,Judo,15,959,6
Italy,Luge,10,959,6
Italy,Modern Pentathlon,12,959,6
Italy,Nordic Combined,1,959,6
Italy,Rhythmic Gymnastics,12,959,6
Italy,Rowing,74,959,6
Italy,Sailing,13,959,6
Italy,Shooting,38,959,6
Italy,Short Track Speed Skating,21,959,6
Italy,Snowboarding,2,959,6
Italy,Speed Skating,6,959,6
Italy,Swimming,27,959,6
Italy,Taekwondo,3,959,6
Italy,Volleyball,72,959,6
Italy,Water Polo,100,959,6
Italy,Weightlifting,3,959,6
Italy,Wrestling,8,959,6
East Germany,Athletics,140,941,7
East Germany,Biathlon,20,941,7
East Germany,Boxing,13,941,7
East Germany,Canoeing,50,941,7
East Germany,Cross Country Skiing,10,941,7
East Germany,Cycling,33,941,7
East Germany,Diving,7,941,7
East Germany,Fencing,1,941,7
East Germany,Figure Skating,6,941,7
East Germany,Football,51,941,7
East Germany,Gymnastics,86,941,7
East Germany,Handball,42,941,7
East Germany,Judo,9,941,7
East Germany,Luge,21,941,7
East Germany,Nordic Combined,7,941,7
East Germany,Rowing,184,941,7
East Germany,Sailing,15,941,7
East Germany,Shooting,16,941,7
East Germany,Ski Jumping,7,941,7
East Germany,Speed Skating,29,941,7
East Germany,Swimming,152,941,7
East Germany,Volleyball,24,941,7
East Germany,Weightlifting,11,941,7
East Germany,Wrestling,7,941,7
Canada,Alpine Skiing,10,938,8
Canada,Athletics,41,938,8
Canada,Biathlon,3,938,8
Canada,Boxing,9,938,8
Canada,Canoeing,24,938,8
Canada,Cross Country Skiing,4,938,8
Canada,Curling,48,938,8
Canada,Cycling,19,938,8
Canada,Diving,17,938,8
Canada,Equestrianism,14,938,8
Canada,Figure Skating,21,938,8
Canada,Football,36,938,8
Canada,Freestyle Skiing,18,938,8
Canada,Gymnastics,1,938,8
Canada,Ice Hockey,247,938,8
Canada,Judo,5,938,8
Canada,Rhythmic Gymnastics,1,938,8
Canada,Rowing,130,938,8
Canada,Rugby Sevens,12,938,8
Canada,Sailing,15,938,8
Canada,Shooting,1,938,8
Canada,Short Track Speed Skating,70,938,8
Canada,Skeleton,4,938,8
Canada,Snowboarding,7,938,8
Canada,Speed Skating,39,938,8
Canada,Swimming,90,938,8
Canada,Synchronized Swimming,26,938,8
Canada,Taekwondo,2,938,8
Canada,Tennis,2,938,8
Canada,Trampolining,7,938,8
Canada,Triathlon,2,938,8
Canada,Weightlifting,2,938,8
Canada,Wrestling,11,938,8
China,Archery,19,901,9
China,Athletics,27,901,9
China,Badminton,24,901,9
China,Basketball,23,901,9
China,Boxing,12,901,9
China,Canoeing,4,901,9
China,Curling,4,901,9
China,Cycling,9,901,9
China,Diving,88,901,9
China,Fencing,30,901,9
China,Figure Skating,2,901,9
China,Football,15,901,9
China,Freestyle Skiing,8,901,9
China,Golf,1,901,9
China,Gymnastics,109,901,9
China,Handball,13,901,9
China,Hockey,16,901,9
China,Judo,22,901,9
China,Modern Pentathlon,1,901,9
China,Rhythmic Gymnastics,6,901,9
China,Rowing,29,901,9
China,Sailing,6,901,9
China,Shooting,56,901,9
China,Short Track Speed Skating,49,901,9
China,Softball,15,901,9
China,Speed Skating,7,901,9
China,Swimming,70,901,9
China,Synchronized Swimming,31,901,9
China,Table Tennis,51,901,9
China,Taekwondo,10,901,9
China,Trampolining,11,901,9
China,Volleyball,66,901,9
China,Weightlifting,57,901,9
China,Wrestling,10,901,9
Great Britain,Archery,8,864,10
Great Britain,Athletics,157,864,10
Great Britain,Badminton,2,864,10
Great Britain,Bobsleigh,4,864,10
Great Britain,Boxing,25,864,10
Great Britain,Canoeing,18,864,10
Great Britain,Curling,13,864,10
Great Britain,Cycling,89,864,10
Great Britain,Diving,10,864,10
Great Britain,Equestrianism,67,864,10
Great Britain,Fencing,8,864,10
Great Britain,Figure Skating,4,864,10
Great Britain,Golf,1,864,10
Great Britain,Gymnastics,15,864,10
Great Britain,Hockey,79,864,10
Great Britain,Judo,19,864,10
Great Britain,Modern Pentathlon,11,864,10
Great Britain,Rowing,157,864,10
Great Britain,Rugby Sevens,12,864,10
Great Britain,Sailing,61,864,10
Great Britain,Shooting,13,864,10
Great Britain,Short Track Speed Skating,1,864,10
Great Britain,Skeleton,4,864,10
Great Britain,Snowboarding,1,864,10
Great Britain,Swimming,63,864,10
Great Britain,Taekwondo,6,864,10
Great Britain,Tennis,6,864,10
Great Britain,Trampolining,1,864,10
Great Britain,Triathlon,5,864,10
Great Britain,Weightlifting,3,864,10
Great Britain,Wrestling,1,864,10
France,Alpine Skiing,39,832,11
France,Archery,5,832,11
France,Athletics,54,832,11
France,Basketball,24,832,11
France,Biathlon,40,832,11
France,Bobsleigh,4,832,11
France,Boxing,15,832,11
France,Canoeing,37,832,11
France,Cross Country Skiing,5,832,11
France,Cycling,63,832,11
France,Equestrianism,41,832,11
France,Fencing,150,832,11
France,Figure Skating,5,832,11
France,Football,16,832,11
France,Freestyle Skiing,12,832,11
France,Gymnastics,8,832,11
France,Handball,77,832,11
France,Judo,49,832,11
France,Modern Pentathlon,7,832,11
France,Nordic Combined,7,832,11
France,Rowing,46,832,11
France,Sailing,24,832,11
France,Shooting,14,832,11
France,Ski Jumping,1,832,11
France,Snowboarding,10,832,11
France,Swimming,56,832,11
France,Synchronized Swimming,2,832,11
France,Table Tennis,1,832,11
France,Taekwondo,7,832,11
France,Tennis,2,832,11
France,Weightlifting,2,832,11
France,Wrestling,9,832,11
Japan,Archery,7,807,12
Japan,Athletics,18,807,12
Japan,Badminton,3,807,12
Japan,Baseball,64,807,12
Japan,Boxing,5,807,12
Japan,Canoeing,1,807,12
Japan,Cycling,6,807,12
Japan,Fencing,5,807,12
Japan,Figure Skating,5,807,12
Japan,Football,34,807,12
Japan,Freestyle Skiing,3,807,12
Japan,Gymnastics,146,807,12
Japan,Judo,84,807,12
Japan,Nordic Combined,8,807,12
Japan,Sailing,4,807,12
Japan,Shooting,6,807,12
Japan,Short Track Speed Skating,6,807,12
Japan,Ski Jumping,20,807,12
Japan,Snowboarding,3,807,12
Japan,Softball,44,807,12
Japan,Speed Skating,17,807,12
Japan,Swimming,76,807,12
Japan,Synchronized Swimming,52,807,12
Japan,Table Tennis,10,807,12
Japan,Taekwondo,1,807,12
Japan,Tennis,1,807,12
Japan,Volleyball,101,807,12
Japan,Weightlifting,14,807,12
Japan,Wrestling,63,807,12
Netherlands,Archery,1,713,13
Netherlands,Athletics,5,713,13
Netherlands,Badminton,1,713,13
Netherlands,Boxing,5,713,13
Netherlands,Canoeing,6,713,13
Netherlands,Cycling,43,713,13
Netherlands,Equestrianism,33,713,13
Netherlands,Figure Skating,3,713,13
Netherlands,Gymnastics,2,713,13
Netherlands,Hockey,209,713,13
Netherlands,Judo,23,713,13
Netherlands,Rowing,116,713,13
Netherlands,Sailing,16,713,13
Netherlands,Shooting,1,713,13
Netherlands,Short Track Speed Skating,1,713,13
Netherlands,Snowboarding,1,713,13
Netherlands,Speed Skating,114,713,13
Netherlands,Swimming,85,713,13
Netherlands,Tennis,2,713,13
Netherlands,Volleyball,24,713,13
Netherlands,Water Polo,22,713,13
Hungary,Athletics,19,702,14
Hungary,Boxing,13,702,14
Hungary,Canoeing,144,702,14
Hungary,Fencing,131,702,14
Hungary,Figure Skating,2,702,14
Hungary,Football,64,702,14
Hungary,Gymnastics,23,702,14
Hungary,Handball,45,702,14
Hungary,Judo,9,702,14
Hungary,Modern Pentathlon,33,702,14
Hungary,Rowing,4,702,14
Hungary,Sailing,2,702,14
Hungary,Shooting,9,702,14
Hungary,Swimming,44,702,14
Hungary,Water Polo,109,702,14
Hungary,Weightlifting,20,702,14
Hungary,Wrestling,31,702,14
Sweden,Alpine Skiing,15,632,15
Sweden,Archery,2,632,15
Sweden,Athletics,14,632,15
Sweden,Biathlon,16,632,15
Sweden,Boxing,3,632,15
Sweden,Canoeing,39,632,15
Sweden,Cross Country Skiing,86,632,15
Sweden,Curling,21,632,15
Sweden,Cycling,18,632,15
Sweden,Diving,3,632,15
Sweden,Equestrianism,14,632,15
Sweden,Fencing,7,632,15
Sweden,Football,18,632,15
Sweden,Freestyle Skiing,2,632,15
Sweden,Golf,1,632,15
Sweden,Handball,61,632,15
Sweden,Ice Hockey,188,632,15
Sweden,Modern Pentathlon,5,632,15
Sweden,Sailing,25,632,15
Sweden,Shooting,10,632,15
Sweden,Snowboarding,1,632,15
Sweden,Speed Skating,10,632,15
Sweden,Swimming,43,632,15
Sweden,Table Tennis,3,632,15
Sweden,Tennis,3,632,15
Sweden,Triathlon,1,632,15
Sweden,Weightlifting,1,632,15
Sweden,Wrestling,22,632,15
Romania,Athletics,35,611,16
Romania,Boxing,19,611,16
Romania,Canoeing,63,611,16
Romania,Equestrianism,3,611,16
Romania,Fencing,46,611,16
Romania,Gymnastics,128,611,16
Romania,Handball,58,611,16
Romania,Judo,6,611,16
Romania,Rhythmic Gymnastics,1,611,16
Romania,Rowing,175,611,16
Romania,Shooting,11,611,16
Romania,Swimming,9,611,16
Romania,Tennis,2,611,16
Romania,Volleyball,10,611,16
Romania,Weightlifting,13,611,16
Romania,Wrestling,32,611,16
South Korea,Archery,69,586,17
South Korea,Athletics,2,586,17
South Korea,Badminton,5,586,17
South Korea,Baseball,48,586,17
South Korea,Basketball,11,586,17
South Korea,Boxing,17,586,17
South Korea,Fencing,20,586,17
South Korea,Figure Skating,2,586,17
South Korea,Football,18,586,17
South Korea,Golf,1,586,17
South Korea,Gymnastics,9,586,17
South Korea,Handball,96,586,17
South Korea,Hockey,48,586,17
South Korea,Judo,43,586,17
South Korea,Shooting,16,586,17
South Korea,Short Track Speed Skating,73,586,17
South Korea,Speed Skating,11,586,17
South Korea,Swimming,4,586,17
South Korea,Table Tennis,17,586,17
South Korea,Taekwondo,19,586,17
South Korea,Volleyball,12,586,17
South Korea,Weightlifting,9,586,17
South Korea,Wrestling,36,586,17
West Germany,Alpine Skiing,9,558,18
West Germany,Athletics,71,558,18
West Germany,Biathlon,14,558,18
West Germany,Boxing,6,558,18
West Germany,Canoeing,12,558,18
West Germany,Cycling,28,558,18
West Germany,Equestrianism,62,558,18
West Germany,Fencing,48,558,18
West Germany,Figure Skating,1,558,18
West Germany,Football,18,558,18
West Germany,Gymnastics,1,558,18
West Germany,Handball,15,558,18
West Germany,Hockey,66,558,18
West Germany,Ice Hockey,18,558,18
West Germany,Judo,8,558,18
West Germany,Luge,6,558,18
West Germany,Nordic Combined,5,558,18
West Germany,Rhythmic Gymnastics,1,558,18
West Germany,Rowing,51,558,18
West Germany,Sailing,14,558,18
West Germany,Shooting,11,558,18
West Germany,Speed Skating,3,558,18
West Germany,Swimming,59,558,18
West Germany,Tennis,3,558,18
West Germany,Water Polo,12,558,18
West Germany,Weightlifting,7,558,18
West Germany,Wrestling,9,558,18
Norway,Alpine Skiing,25,547,19
Norway,Athletics,8,547,19
Norway,Biathlon,62,547,19
Norway,Canoeing,19,547,19
Norway,Cross Country Skiing,139,547,19
Norway,Curling,14,547,19
Norway,Cycling,4,547,19
Norway,Fencing,1,547,19
Norway,Football,33,547,19
Norway,Freestyle Skiing,8,547,19
Norway,Handball,85,547,19
Norway,Nordic Combined,25,547,19
Norway,Rowing,28,547,19
Norway,Sailing,10,547,19
Norway,Shooting,4,547,19
Norway,Ski Jumping,25,547,19
Norway,Snowboarding,4,547,19
Norway,Speed Skating,45,547,19
Norway,Swimming,2,547,19
Norway,Taekwondo,2,547,19
Norway,Weightlifting,1,547,19
Norway,Wrestling,3,547,19
Poland,Archery,4,479,20
Poland,Athletics,63,479,20
Poland,Biathlon,1,479,20
Poland,Boxing,38,479,20
Poland,Canoeing,35,479,20
Poland,Cross Country Skiing,5,479,20
Poland,Cycling,20,479,20
Poland,Equestrianism,5,479,20
Poland,Fencing,63,479,20
Poland,Football,50,479,20
Poland,Gymnastics,2,479,20
Poland,Handball,14,479,20
Poland,Judo,8,479,20
Poland,Modern Pentathlon,6,479,20
Poland,Rowing,34,479,20
Poland,Sailing,4,479,20
Poland,Shooting,10,479,20
Poland,Ski Jumping,7,479,20
Poland,Speed Skating,13,479,20
Poland,Swimming,6,479,20
Poland,Volleyball,34,479,20
Poland,Weightlifting,31,479,20
Poland,Wrestling,26,479,20
Spain,Alpine Skiing,2,450,21
Spain,Archery,3,450,21
Spain,Athletics,14,450,21
Spain,Badminton,1,450,21
Spain,Basketball,60,450,21
Spain,Beach Volleyball,2,450,21
Spain,Boxing,4,450,21
Spain,Canoeing,24,450,21
Spain,Cycling,19,450,21
Spain,Equestrianism,5,450,21
Spain,Fencing,1,450,21
Spain,Football,34,450,21
Spain,Gymnastics,4,450,21
Spain,Handball,60,450,21
Spain,Hockey,77,450,21
Spain,Judo,6,450,21
Spain,Rhythmic Gymnastics,12,450,21
Spain,Rowing,2,450,21
Spain,Sailing,32,450,21
Spain,Shooting,2,450,21
Spain,Swimming,8,450,21
Spain,Synchronized Swimming,20,450,21
Spain,Taekwondo,6,450,21
Spain,Tennis,13,450,21
Spain,Triathlon,1,450,21
Spain,Water Polo,36,450,21
Spain,Weightlifting,1,450,21
Spain,Wrestling,1,450,21
Finland,Alpine Skiing,1,447,22
Finland,Archery,6,447,22
Finland,Athletics,25,447,22
Finland,Biathlon,12,447,22
Finland,Boxing,7,447,22
Finland,Canoeing,1,447,22
Finland,Cross Country Skiing,107,447,22
Finland,Curling,4,447,22
Finland,Freestyle Skiing,4,447,22
Finland,Gymnastics,3,447,22
Finland,Ice Hockey,174,447,22
Finland,Modern Pentathlon,3,447,22
Finland,Nordic Combined,20,447,22
Finland,Rowing,7,447,22
Finland,Sailing,9,447,22
Finland,Shooting,8,447,22
Finland,Ski Jumping,32,447,22
Finland,Snowboarding,3,447,22
Finland,Speed Skating,5,447,22
Finland,Swimming,2,447,22
Finland,Weightlifting,3,447,22
Finland,Wrestling,11,447,22
Brazil,Athletics,23,428,23
Brazil,Basketball,48,428,23
Brazil,Boxing,5,428,23
Brazil,Canoeing,4,428,23
Brazil,Equestrianism,9,428,23
Brazil,Football,136,428,23
Brazil,Gymnastics,4,428,23
Brazil,Judo,22,428,23
Brazil,Modern Pentathlon,1,428,23
Brazil,Sailing,34,428,23
Brazil,Shooting,1,428,23
Brazil,Swimming,19,428,23
Brazil,Taekwondo,2,428,23
Brazil,Volleyball,120,428,23
Cuba,Athletics,58,400,24
Cuba,Baseball,112,400,24
Cuba,Basketball,12,400,24
Cuba,Boxing,73,400,24
Cuba,Canoeing,5,400,24
Cuba,Cycling,1,400,24
Cuba,Fencing,13,400,24
Cuba,Judo,36,400,24
Cuba,Shooting,4,400,24
Cuba,Swimming,2,400,24
Cuba,Taekwondo,5,400,24
Cuba,Volleyball,52,400,24
Cuba,Weightlifting,5,400,24
Cuba,Wrestling,22,400,24
